의안번호	의안명	제안일자	의결일자	상세페이지 URL	PDF 파일 경로
2210136	김건희와 명태균ㆍ건진법사 관련 국정농단 및 불법 선거 개입 사건 등 진상규명을 위한 특별검사 임명 등에 관한 법률안(서영교의원ㆍ정춘생의원ㆍ정혜경의원 외 185인)	2025-04-25	2025-06-05	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2T5B0C4I2A5R1V6C2P6V2V8T5R1T6	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/.com.google.Chrome.NtGsog
2210129	윤석열 전 대통령 등에 의한 내란ㆍ외환 행위의 진상규명을 위한 특별검사 임명 등에 관한 법률안(김용민의원ㆍ정춘생의원ㆍ정혜경의원 외 185인)	2025-04-25	2025-06-05	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2Y5K0O4B2F5D1R5F0Y8X4H1Y7W8J5	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2210129_의사국 의안과_의안원문.pdf.crdownload
2208594	순직 해병 수사 방해 및 사건 은폐 등의 진상규명을 위한 특별검사의 임명 등에 관한 법률안(김용민의원ㆍ정춘생의원ㆍ천하람의원 외 188인)	2025-02-28	2025-06-05	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2Q5C0U2S2P8H1D5K0Z6G3D3C2O7Q9	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2208594_의사국 의안과_의안원문.pdf.crdownload
2208456	검사징계법 일부개정법률안(김용민의원 등 23인)	2025-02-26	2025-06-05	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2H5F0G2N2O5N1N5L0M4L2S0T6R3S7	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2208456_의사국 의안과_의안원문.pdf
2210662	국회의원(위성락) 사직의 건(위성락의원)	2025-06-04	2025-06-04	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2C5E0B6U0J4Q1K7J0L8U3S0Z0Y0J0	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2210662_의사국 의안과_의안원문.pdf.crdownload
2210661	국회의원(강훈식) 사직의 건(강훈식의원)	2025-06-04	2025-06-04	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2P5G0F6U0H4Q1M7K0G8Y0L2F2X6Q6	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2210661_의사국 의안과_의안원문.pdf.crdownload
2210660	국회의원(강유정) 사직의 건(강유정의원)	2025-06-04	2025-06-04	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2L5Z0Q6B0N4H1M7F0P7O3S0V2W2G9	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2210660_의사국 의안과_의안원문.pdf.crdownload
2210656	국회의원(이재명) 사직의 건(이재명의원)	2025-06-04	2025-06-04	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2L5N0L6O0A4Q1Z0L3J9E1E3R9R5H0	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2210656_의사국 의안과_의안원문.pdf
2210330	의사일정 변경동의의 건(박성준의원 등 170인)	2025-05-01	2025-05-01	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2U5C0N5H0P1I2K1O3A7S2C2U0P3E5	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2210330_의사국 의안과_의안원문.pdf.crdownload
2210293	디자인보호법 일부개정법률안(대안)	2025-04-30	2025-05-01	https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2M5I0G4Q1A6Q1P5N0V1J2Z9Z2L4O2	/Users/kwon5700/Desktop/dissatisfaction/data/bill/pdf/2210293_의사국 의안과_의안원문.pdf
